Actual Solution,Predicted Solution,Cross Checked Solution
yI80LKpMF,yISOlKpMF,"Y18OLKPFMF
"
fynF9K,fMF9k,"FYM9K
"
jNdzNLqPw,jdNxeNLqpw,"j'dκNl9pw
"
uIkHn5ue,UknHn5Ue,"UNK5nUe
"
Ltq1,ltaL,"Ltql
"
xGgbRD,xGgbRD,"GgbRD
"
bPOeTe,bpOeleT,b0ete
Am49pc8,Avn49pCc8,"AN9PC88
"
rqj7z,zqjk,"nqjk
"
rBZdVRWw,rBZqIRWWw,xBL1aRWNW
0an92uZj,aKW92kj,"aK>9u≥j
"
foWNL1JU,FOLLOWJU,"FOLLOWJU
"
x1mo,x1m0,"X1M0
"
Ad25YTCQ,Aq25yTCq,AΩ25γTCΩ
oBUACb4,OBUACb4,"OBUACHb
"
XzTZ,X2Tz,"XZTZ
"
8bfR7wZi,8bfk7Zi,"8bfKZi
"
Oecr5BfeS,0eCr5BEs,oecrushing
ihPZ6TU,ihR26Tu,"i#R6TU
"
75SzrgYY,>s5srgyY,>531r8Y
TZbrbkds,TZbRbxs,"TZBRXS
"
dENv,qEN2,QENW
lBorT,BorT,"BORTR
"
3JaZL8l4e,3aZ8l4e,"3aZ8l4e
"
tbAfM,tbfm,"bf1n
"
ekH9,e7H9,"e<tH9
"
zD8YHGiT,ZD8xVGIT,"ZDG8YHGIT
"
nDIh,nDqh,"nDph
"
MQsDbxdHL,MOSDbyctrl,"MOSDbyDHL
"
YJ74,Y74X,"Y74X
"
WI2HlKtzZb,W2HkTZ1b,"W2HkT21b
"
o4BXO,OBKO,"OBKO
"
TYQA,TQA,"TQA
"
aWc483Jtw,aWC483jtW,"awC483JtW
"
9zzL,9VZ,9VZŁ
RzBl6Vix,pZBL6vIx,PZBL6VIX
XjlUssD,XjKUSSD,XKSDS
WGn6,wGn6,"WGn6
"
hybu,hyou,hyou
ZMkBM20,zMkBMr0,ZMKB>0
3u7e,3u^x,"3u>e
"
qfww,qfwHzl,"qfwHzl
"
ZlFkJ5m,zlFk/5m,≥Fk√5m
bcKp3,BGC*P3,BCF+QP3
0vgGRZB,ONyGRB,"ONGR7B
"
s597zC,S3971C,"S3971C
"
TBlNXcxk,TBIMActk,"BLACK
"
1uSC,1uSc,"1uSC
"
VWrguxc,KWRgUxC,"KW1G4XC
"
Qhhosp,QnhOsp,"QnhOsp
"
osjevtv,osjevrv,"osjevtv
"
3npXrJt,3hpxXrt,"3Hpxrt
"
fVkX,fvk+,fvk+k
y7D6AZJqN,J7D6AZqN,J7D6AZqN
eKLJx,eKLJx,"eKLJx
"
88yQU,8SyqU,8yQU
awKJUj7ox,aWkJU7i7OX,"WKJU70X
"
pHaa,P H A A,"P H A A
"
NemBlK,NeMBK,"NeMBK
"
AweT,AweT,"AWεT
"
jf4mSA2,jkmSA2,JkmSA2
ncJFVkno,nCKFVkno,MCJVkno
ca7s5,ca7S5,cat5S7
Drtq,Dr7q,DrQ
kL368WEc,KL368WEC,"KL368EC
"
fRtmmql2T,fRMnr912T,"RMz912T
"
nMeorW,nmEorvw,newW
ccet,ccet,Cet
CMLb,cMLB,MLB
Ijkcc,INKCc,"IJKCC
"
PAfbBZF,PaFbLF,"P4b7LF
"
wI5ZdO,w\15z00,W5Z0
7csKI,7CsKi,7csI
eejA,eeiA,eeiA
SrP7,SR?7,SR?71
tOdarIL,todqrlL,"odqrL
"
u8t5c,u8t5c,"u8t5C
"
7l3T,l3T,"73T
"
Tjne,TVNE,"TUNE
"
45Da,45Da,45Da
0vgGRZB,OV9GR7B,"ONGR7B9G
"
NemBlK,NembBk,"Ne mBk
"
6FVNu8,6FUNU8,6FUN8
fm0p1o,fm0p10,fmo10
5euEN,5euN,5euN
YKtFOLQY4,YkTFOk@YA,"YKTFOK@YA
"
W2so,W2S0,"W2SO
"
PjzDk,PjlDk,"P1LDK
"
37UBR0J,37UBR0J,"37UBROJ
"
vzDqIAvpe,vZDq1Avpe,"VZq1AVNpE
"
uIkHn5ue,U*Hn5ue,UN5UleHN
uhQruYw,ruYW,ψhoruYW
TBlNXcxk,TBlXcK,"BLACK
"
hw7vVb,hw7vLb,"hw7vlb
"
Eye66HW6HI,E6H6H,E66H6H
OTjrM,0jyRy,0JAVP
lSZj,lSzj,SZj
VKGgi,VXGGI,VGAGGI
ZOlE,lQE,"10E
"
zvraLcRJI,ZvraLCRJI,"ZVαLCRJI
"
quUh4,aukhA,"UK4A
"
CpVp,RVP,"RVIP
"
KKpojbkW,KKpOibkW,"KKPOjbkW
"
3gA2X,3gA2x,3gA2x
9iOuWKs,9iouwnks,"9OUVKTS
"
OjzrO0,OjZroo,OJΓροO
Ze9Mn,e9Mn,"e9Mn
"
dpqdqxTt,d9XT,d9XTk
akfYEb,akfYEb,"akfYEB
"
rc8G3EZ,rc8G3EZ,"RC8G3EZ
"
fnKm,fkKm,"1km
"
U5uH,USUH,USUHV
8aemX,genmx,glemx
6Wjv8da,6w4jV8da,6w3v8dq9
hyL1a,h<1a,h<1a
DgPMC5AED,DgpnC5AED,"DgpMC5AED
"
vzDqIAvpe,vZq1Aype,VZq1AVNpe
V0rD,V0xD,"V0XD
"
wXzk4p,zXzK4p,"ZLK4p
"
zfvyFP,Z1VYep,"Z1YVP
"
1daMKcm,zdaqkcm,"todaycm
"
L1Qd4X,LRdA4x,"LOADAX
"
lQlskUPy,QISKPY,QUSKPY
tnjbUU5Hq,tnjbw5H,"tnjbω5Hα
"
6VSjBcNL,VSiBCN<,6VSBCN<
SnPKQ7p,snpk7qP,"SNP7QP
"
bhbnX6w,mbN+w,bMn6w
Fcx3x7,FLX3X1,FL3X1
fZ1dZLC6r,fz1dKevc6r,fz1dKvC6r
P5LshzyT,P5lashzKT,"PSHZT
"
j4jIYAb,j4jLYAb,J4JYAb
XbtM,XbtM,"xbtM
"
exgs,ExgS,"Exgs
"
AweT,AWET,"AWεT
"
PtfMm9,PtfMh29,"ptfMh9
"
nMeorW,nMEorW,newW
rQFe,roFe,"rOfE
"
eOclaH,ecloH,eClOH
pOmc44,pOmC44,"p0mC44
"
SJTU,sTU,"sTU
"
CqZ3,CQL3,"CQZ3
"
XhKfUplot,xhKfUpOx,xhkfUρOX
dKXJZXE,dfHJZxE,"JZXE
"
RXNC5,R4NC5,"R+C5
"
5euEN,5exEN,5euN
yzV9gF3dXC,vZVg8r3dXCh,"yZv8z3dXc
"
5euEN,5eUN,5exN
uwjTi,uZjTi,"U≤jTi
"
Lq5bS,La5bs,"Lα5bs
"
yUO3dax,yUo3qax,YU03dx
dN1d,Dm>d,DM>d
L3gtuKi,38tWKiL,38tWKiL
CpvO,CPLO,"CPLO
"
tbAfM,tbF7,"tf1n
"
dN1d,Dna,"DM>d
"
foWNL1JU,FOLLOWJU,FOLLOWJU
zVhqItoUA,Zv9ltauA,"Zv91tauA
"
hf0qz,Hfo2Z,"HfoZ
"
0dm50xW,odm50xW,odm50XW
3IuveJl,3IuVe^1,"IuVe1
"
45hn,45hn,"45hn
"
92ADqO,92ADaO,"92ADαO
"
qfl4,JfV4,Df√4
qiUH,qiUH,"QIUH
"
uhQruYw,4b0ruw,uhoRuYW
ekH9,eH9,"eH9t
"
pkL0VZ,pkLOv2,"PKLOWZ
"
Is9O,ls9O,s90
UkaB1yj,ckabzyj,"ckabzyj
"
3NVEpzp,3NVFZPZQ,3NVFZPQ
U5uH,USUHS,"USUHU
"
zvraLcRJI,ZVCRJI,ZV1a1CRJI
Anqsdxb,Ahsxb,nsxb
eICrS1u,eCrSk1,"eCrSkl
"
eUWIWD,eUwIWsd,eUWIDW
ydTNnI,jd7NM1,"yd7NM1
"
eibgGJw,eivgGW,bigGFN
JKWeA3,kKw eA3,"K^2eA3
"
Am49pc8,NA49pC8,AN9PC88
s05K7PoT3,S05K7POT3,"S05K7POT3
"
65exi,65ex1,"65ex
"
hSzgGOpn,hrSZgGOrpn,"hrS7g0pn
"
DfqsbPn,Dfqsvpn,"dfqspdn
"
KuLisQ,KuliSq,"KuLiSq
"
2xBywz,2XByWZ,"2XB_wZ
"
xrnS1b247,xr^S1b241,xrm≤b≥41
ekH9,eKTH9,e7H9
U9vAc,u9zAC,U92AC
3Yb76mT,3Yb6m,3Yb6m1
ihPZ6TU,ihRe6TU,"i#R6TU
"
P5WC,B5WC,"B5WC
"
xU4U42g,XU4U429,"XU4U429
"
cYy3ZeU8z,CyZeU81z,GY3Z8eU8l
Ze9Mn,ze9Mn,"e9Mn
"
wjXi,WjX1,"WJX1
"
rzhc,K2C,"K√C
"
Uj5daSb8I,Uj5dasb8I,UΛ5dαsb8I
ZslK6,LS1k6,"LSIK6
"
3u7e,3u>e,"3u>e
"
enN5diE2i8,eNvsd'iE2i'8,enVsdiE2i8
MTYvJ9E,MTYL4J9E,"MTYʌj9E
"
YHl9x,YHl9x,"YH9X
"
kY53,ky53,"KY53
"
etA3vV,etA3VL,"etA3V
"
uaDd,UaDd,"U'Dd
"
COiXqQ3,Coix9Q3,"CoiX9Q3
"
kYJ6,kY6,"KY6
"
DUNA,DUWA,"DUWA
"
sFrU,SFSU,SFU
P5LshzyT,P5LShZkT,"PSHZYT
"
rKWm,rtWm,"RTWm
"
5stvfX,5stVFx,"5STVFX
"
gVM4,gVm4,"gVmM4
"
e4FodmvK,e40dnVK,"e4F0dnVK
"
uhQruYw,UhoYruYVW,uhoRuYW
0DxmJ1qB,oDtm1B,"OD†mJ1aB
"
WdbC,WdBC,"WdBC
"
wX7Qffy5,WXOFFY,"WXOFFY
"
YFg5,YFg5,"y6g5
"
5H4XPv,5H4xPL,5H4×PL
IZjiwONp,rziviwONR,IZWI0NR
uaDd,u'Dd,"u'Dd
"
RURbDMzl,U R b D M Z,ρURbDMΣ
J4c0D2K,4COD2K,J4CO2DK
qiUH,aiUH,"QUIDH
"
gviytL8Kk,gVbtZ8Kk,"vbt28k
"
ym6c0v5,ymoca5,"y=6a5
"
OY9VIw,O%VW,"O%VW
"
rn6xPU,rn6xpU,"n6xpU
"
3ZcnB9N3,3cn9N3,"3>cn9N3
"
fyOvVoS,fyOVVas,"fnoVOSS
"
wln1,w\n/,WIN
SouXSyoPE,SouXsyORE,"SO4XSY0PE
"
xU4U42g,xU4U42g,XU4U429
ZslK6,LSIk6,LS1k6
ay26,a26,a²6
OsZEflkk,OSZK,OSZK
ITD4k07,ITD4K07,"ITD4K07
"
dKXJZXE,dfHjZxE,"JZXE
"
mZLhMvV,m1LkWdV,mL<N VJ
AFZd,AF7q,AF7d
qqJRl,a2JR4,"Q2JR4
"
C8Vz4QX,C8VZ4QX,"C8VZ4QX
"
bFTgA,BFTGA,"BFTGA
"
GQ4eDrM6,G4edM6,"GΩ4edM6
"
ILqxLErt,LqXver,"LQXVYR
"
hf0qz,hfoqz,"HfoZ
"
o8ziqH,08iqH,"08≥iqH
"
m7WcainRa,M7cavinRa,"M7cavinRa
"
QRphJ6y,QRphl6y,"QRph/6y
"
JIILSp,JIVSp,"JIVSp
"
TBlNXcxk,BLACK,BLACKK
vbqIflgp,vbgfigp,"bq>fgp
"
bhbnX6w,bNb76w,bW46w
tJRma,tjRma,"TJRMca
"
6gwW,6GWw,6GWW
VKGgi,VGAGI,VGDG1
gMKwqry25,GMKW9rY25,GMKW9rY25
KPGKC,kPGKc,"KPGKC
"
E2HSG,E2HSG,E2HsgG
eICrS1u,erCrS,"eCrSkI
"
rSGjoOj,rSGjooj,"rSG00j
"
cYy3ZeU8z,GyB3zeU8zL,GY3Z8U1
AduEkr,AduEkxr,"AdkExr
"
vzDqIAvpe,VZq1AVNpe,"VZq1AVNpe
"
Ppdc996b6,PpC906b6,Pp996b6
Jj1L1wE,JjVxwWE,JWVE
sbZpPNvhY,sbZppNVWY,"sbZppNVWY
"
V005,v005,"v05
"
ccet,Ceter,Cet
XOgzX,xOgzX,"X0gZX
"
VavUb,aUb,"aUb
"
XClafgfT,tClafrT,"cafgT
"
nm5sttj,nm5Stj,"nm5Stj
"
XbtM,XbtM,"XbtM
"
IUwy9nd,Uwy9nd,1w9nd
sgUJ2P8,sgUJ2p8,"SGJ2p8
"
htJ96ES,htJ96ES,htj06ES
6xMGb,6XMG3,6XMB3
DZ53IZX,D5311x,"D>5311X
"
MsDp,MSDP,MSDP
m2oqs0kx,m2O9Sokx,"m2O9S0kX
"
tm3GJ,TMBGJ,"TM3GJ
"
dN1d,DM>d,"DM>d
"
SouXSyoPE,SOuZXsYOPe,"SO4XSY0PE
"
6f3hZ5pO,6f3hZL5pO,"6f3hz5p0
"
mMNP1,mmMNp1,"MN≥p1
"
2xBywz,2XBLwZ,"2XB_wZ
"
xcw8zcK,XSW8zck,"XSW8ZŁK
"
jNdzNLqPw,jdxN19pw,"j'dκNl9pw
"
tkShLM4k,tkSzhLAk,t1kS4L4k
YhEXDP,vhEXDP,"THEXDP
"
2oknR,20kNR,"20kNR
"
8XoHBCAv,8x0HBCAN,"8OHBCAV
"
9Q1J3IY7,gQl3->7,Q1J3>7
Sx0MH8jb,SxOMH8p,"SXOMH8ρ
"
HnWd9s4,HZnWq9S4,"HW9S4
"
qiUH,aICU,"QIUH
"
9I3tIxUx,g3t\xUx,"q3tXU7
"
dFwm6y,dkWmy6y,"dKwVm6Y
"
TZbrbkds,Tz6rbkes,"TZBRXS
"
XcyoUA,xCyOUA,"XCU0UA
"
2oknR,2Ok nR,"20kNR
"
foWNL1JU,fOwNlJU,FOLLOWJU
hK74,hK7A,"K4h7
"
WkkMPZG,WKLMPGZ,"WKLMPGZ
"
fPyQqodU,fPy09OdU,"fPyo9odU
"
CxKIsu,cXKisu,"CXSU1
"
ln1ICxF,lhlCXF,"1h1CXF
"
Tnjub,TnjWb,"Tnjwb
"
IlzqwQfG,I7ZqWQfG,IZaWQFG
ccet,Ccet,Cet
mvA5tHjI,mvA5tHAjiI,mvA5thH/I
WdbC,WdBC,"Wdbc
"
ZjXGzfF9Oc,jxXGZf90c,"JXG90C
"
lXdFGfqR,IXqFGfqR,"XQFGqR
"
mMNP1,mMvpl,"MN≥p1
"
230a5s,230a5S,"230a5S
"
iNKK6,iNK6K6,K6IK
PrUfqG,PrUf9G,PVR9G
kXlfSJJ6,kXfsJ6,"kXFSJ6
"
GucMwYI5O,GuCMwyI50,GuCMW150
Ppdc996b6,ppdc996b6,Pp996b6
nVhtWY,ntwY,NHTWY
WCTKzRA00,WCTKzRA00,WCTKZRA0
exgs,exgs,"Exgs
"
ITD4k07,ITD4K07,"ITD4K07
"
0eWWN,OezWN,OLZWZN
OT3FhYKw,OT3^hYkw,OT3hYkW
hw7vVb,hw7vlb,"hw7vLb
"
LcUvaGa,LcWvQGga,LCWAGa
ITD4k07,ITD4KO7,"ITD4K07
"
k4uXNK,K4UXNK,K4UXNK
wYcIjPZG,Wyc1pZLG,WYCLIFZG
eOclaH,eocloH,ecIOH
rzhc,K7C,"K√2C
"
5joZDVN,"SVOLDV""",5FOLDY11
JIILSp,jIVSp,"JIVSp
"
4vitovy5N,4v.iOL5N,"4V1O≤5N
"
YsbYNbDW,YSbyNbD,YSDbyNBD
ZtiJO,ztivo,"zti0
"
0r6OInox,0r6OVnot,"0r60Vno+
"
6FVNu8,6FVNu8,6FUN8
0u2mhBU,OUr2wBv,OUTBVU
7GXW8ZM,1Gxe4e8z1M,"1GX87LM
"
FXuEie9,FXukeie9,"FXukie9
"
FxMAR,FxMAR,"FMrAR
"
xgXOBHWw,xgxOBHwW,XGXBHWW
3NVEpzp,3NVErZp,3NVFZPZQ
dFwm6y,d4Wm6Y,"dKwVm6Y
"
tUcLG,tuCzG,TUCLG
0jw1ZgxK,wj^1zgtk,ωhʌ1ZgkXк
FJr9Yh,Fv9h,FV9hn
J6Zg,J6Z9,"J6Z9
"
5stvfX,5sTVFfx,"5STVFX
"
lAjO,VJ0,VAJO
yRSPHnW3,yRSPhW3,"YSPHW3
"
j7JA,j7YA,j7YA
dKXJZXE,oFyZxE,JZE
CpVp,RVIP,RVIP
Q57u1up7O,Q57UKI7P7O,Q57UKI7P7O
6gwW,6GWW,6GWW
tUIhl,tUIhp,"TU1H9
"
vWJTOS,VWTOS,vTOS
OsZEflkk,OsZeXkVk,OSZK
SG494l,SG49AL,"SGAGAL
"
F5Y6,F5Y6,"F5Y6
"
tUIhl,tUIhq,TUIhP
h6xuu1sw,h6rUu15w,hotv15w
z67CtUy,z67CtUy,z67ctUY
w1mi3EQ1,W1m3FQ1,W13EQ1
FkA9eg3gD,FkA9xeg38D,"FkA%e83&D
"
6IvtUXz8,61TUXZ8,6I7UXYZ8
ZOlE,zQE,10E
YFg5,Y65g,y6g5
1tZb3BxJo,1yL63BXJO,1763B×10
mMq7EaBHx,mnM9FEABH x,mnM9FEQBHX
pHIgS,pH1gS,"PHGS
"
fqgYZxL,logY>xI,"logY≥X
"
LmZI,Lm2I,Lm≥1
4vitovy5N,4N1O5N,"4V1OΛ5N
"
wI5ZdO,W5Z0,W5Z0
AIAkfn,AIAkfn,IAkn
jCufHpl,iCUfHp1,"CUHPD
"
dENv,QENW,QENW
nBlg2YhAo,hBlsg2Yh0,hBlso2Yh0
AL3E,AL3E,"AL3E
"
Uj5daSb8I,U5dsb8I,U5dαsb8I
voTP,vOTp,"NOTP
"
MQxU6D,MPXU6D,MXU6D
NGAOdLq,NGAGodLq,NGAGodLq
gMKwqry25,gMKWqry25,GMKW9rY25
sKptE,SKIPtE,"SKPtE
"
V0rD,V0XD,V0XD
eibgGJw,beingGjv,ei8ogGJV
78z5Dc,78L5DC,"78L5DC
"
ZtiJO,zti0,zti0
rKWm,rtWm,RTWm
ILqxLErt,ALqXyRz,"LQXVYR
"
yRlsdrDd,YR^Sdid,YRSIdRd
MsDp,MSDP,MSDP
tUascgT,twasc9T,"twag9T
"
ME2Ncd23,ME2Ncd23,"ME2NWCD23
"
ZTnYSGg3,zTnYsGg3,ZTn'sGy3
7l3T,73T,"73T
"
YKtFOLQY4,ykTFOx@.YA,"YKTF0@YA
"
hr1wEK,hrlWEk,"hrlwEK
"
CAlHMk,CAHmk,"CA7HMK
"
XzTZ,XzTz,XZTZ
YsbYNbDW,YSbyNBD,YSbyNBD
UY2GU,UA2GU,"U12GU
"
2qc7,299C,"29C
"
CAlHMk,CA7HMK,"CA7HMK
"
hyL1a,hXL1a,"h≤1a
"
L1Qd4X,LPQd4X,LOADAX
SG494l,SG49AL,"SGAGAL
"
eKLJx,eLJx,"eKLJx
"
k4DizF4yxI,KDzFXYHA,"KDZFJXHRV
"
rZINbRpr,r<=NbRPr,"R2NBRRr
"
fO4Of,fO4Of,"f04Of
"
2pL3HG7r,2p<3HG>r,2p<3HG>V
QDIwZbj,qDIwzbj,"QDIWZB j
"
m0llnC,mVnC,"m○VnC
"
09y5e,09Y5E,"09Y5E
"
0jw1ZgxK,h1ZgXk,ωhʌ1ZgXk
tLoAMQNN6,tLOAMqNN6,LOADNQNO
AVp1,Avp<,"Avp<
"
sKptE,SkptE,SKpTE
QDIwZbj,QDIwzbJ,"QD1WZBj
"
hyL1a,hl1a,"hʌ1a
"
LJoh3f72Xn,LJohn3&2xn,LJohn3&2xn
MsDp,MSDp,MSDP
4kGRe,4KGR,GR4K3E
AVp1,AVP,"Avp<
"
atzdo,&XZ0,&XZ0
SnPKQ7p,SNAP7QP,"SNP7Q9P
"
FYHuX,FYHlux,"FYHlux
"
OY9VIw,d6v/w,"O%VW
"
Pu2S,RLs,"ru2s
"
fRtmmql2T,RMz912T,"RMz912T
"
