Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
mRgypK,mRpgkP,mRgyPK,0,0.8333333333333334,1.0
j1KUM,jkNUM,jkNUM,0,0.6,0.8
Tnjub,TnJwB,TnJwb,0,0.6,0.8
gizp,goizp,giZp,0,0.75,1.0
SzEHxq,SZEHX9,SZEHX9,0,0.5,0.8333333333333334
lAjO,VAjo,VAjo,0,0.5,0.75
VbKpu,VbKpu,VbKpu,1,1.0,1.0
e39v,e39V,e39V,0,0.75,1.0
YegOxieih,YESOKIE,YeGOKieN,0,0.5882352941176471,0.7058823529411765
qfl4,JfV4,JfV4,0,0.5,0.5
dFwm6y,d4Wm6Y,d4Wm6Y,0,0.5,0.8333333333333334
vTn9,vTng,vtng,0,0.5,0.75
5euEN,5exEN,5eUrN,0,0.6,0.8
88yQU,8SyqU,8SyqU,0,0.6,0.8
QGw2,QGW2,QGW2,0,0.75,1.0
DiON51ylQ,DION51Y1Q,dION51Y1Q,0,0.5555555555555556,0.8888888888888888
k4uXNK,K4UXNK,K4UXNK,0,0.6666666666666666,1.0
uAsg,uASg,uASg8,0,0.6666666666666666,0.8888888888888888
AweT,AWeT,ANeT,0,0.75,0.75
Tjne,TUNE,TUNE,0,0.25,0.75
Ji6hNbg,J`6hNb9,I cannot extract text from the image directly. Please use an OCR tool to verify or update the text extraction.,0,0.03418803418803419,0.05128205128205128
hK74,hK7A,hK7A,0,0.75,0.75
6Wjv8da,6w4jV8da,6w4jV8da,0,0.6666666666666666,0.9333333333333333
Ppdc996b6,Ppdc996b6,Ppdc996b6,1,1.0,1.0
rSGjoOj,rsGyoo;,rSGyooj,0,0.5714285714285714,0.8571428571428571
VZpSs0BVJ,vnpss0BvJ,vnpsS0BvJ,0,0.5555555555555556,0.8888888888888888
QGw2,QGW2,QGW2,0,0.75,1.0
Gf4TM8,G4TM8,G4TM8,0,0.9090909090909091,0.9090909090909091
yRSPHnW3,yRSphw3,jRSPHnW3,0,0.875,0.875
45Da,45Da,45Da,1,1.0,1.0
cxul,CxUL,CxUL,0,0.25,1.0
TLwoh,RwOh,nwOh,0,0.4444444444444444,0.6666666666666666
WdbC,Wdbc,Wabc,0,0.5,0.75
foWNL1JU,FOLLOWJU,fOUNNdJU,0,0.5,0.625
YKtFOLQY4,YkTFOK@qYA,YkTFOK@qYA,0,0.42105263157894735,0.7368421052631579
nZe598xq,n1e598x9,nle598xq9,0,0.8235294117647058,0.8235294117647058
XhKfUplot,xhKfUpOx,xhKfUpOx,0,0.5882352941176471,0.8235294117647058
VbKpu,Vbkpu,Vbkpu,0,0.8,1.0
tiIpE,ExampleText,Verify,0,0.18181818181818182,0.18181818181818182
FBEqqEv,FBEqEV,FBEN,0,0.5454545454545454,0.5454545454545454
ZslK6,LS1k6,LS1k6,0,0.2,0.6
tUascgT,twasc9T,twasC9T,0,0.5714285714285714,0.7142857142857143
GucMwYI5O,GUCMWVY150,GuCMWyI50,0,0.5555555555555556,0.8888888888888888
h6xuu1sw,h6ruU15w,"I'm sorry, but I cannot directly extract or confirm text from images. However, you can try using an OCR tool to verify the text again.",0,0.028169014084507043,0.028169014084507043
dKXJZXE,JZE,dJZxE,0,0.6666666666666666,0.8333333333333334
NGAOdLq,NGAGodLq,NGAOdLq,1,1.0,1.0
HKnC4r,HKnCrV,HKnCrV,0,0.8333333333333334,0.8333333333333334
zVhqItoUA,ZwhqltauA,ZwhqltauA,0,0.4444444444444444,0.6666666666666666
6DzZHJQX,6sz1HVOX,6DZ1HVOX,0,0.625,0.625
lXdFGfqR,XQFGfqR,IXaDFGfqR,0,0.7058823529411765,0.8235294117647058
yI4rv,yA7rN,yA7rN,0,0.4,0.4
78z5Dc,78l5Dx,78z5Dx,0,0.8333333333333334,0.8333333333333334
uIkHn5ue,UknHn5Ue,UknHn5Ue,0,0.625,0.875
tbTD,tbTDO,kOTD,0,0.5,0.5
J4c0D2K,J4COD2K,J4COD2K,0,0.7142857142857143,0.8571428571428571
Eye66HW6HI,Ee66HW6H\,Ee66HW6H1,0,0.8421052631578947,0.8421052631578947
NpKBy,NpBy,NpBy,0,0.8888888888888888,0.8888888888888888
hybu,hyou,hyou,0,0.75,0.75
WdbC,Wdbc,Wabc,0,0.5,0.75
jf4mSA2,jkmSA2,jkmsa2,0,0.46153846153846156,0.7692307692307693
w1mi3EQ1,W13FQ1,W1m3EQ1,0,0.8,0.9333333333333333
ln1ICxF,lhlCXF,1nlYCXF,0,0.42857142857142855,0.5714285714285714
3NVEpzp,3NVEPZ,3NVEPZ,0,0.6153846153846154,0.9230769230769231
4Lfx,4Lfx,4Lfx,1,1.0,1.0
CpvO,CpL0,CpL0,0,0.5,0.5
Hd0A8sry,HqOAsrYy,HqOAsrYy,0,0.625,0.625
Oecr5BfeS,oeCr5Bes,oeCr5Bes,0,0.5882352941176471,0.9411764705882353
RT6T,RT6T,RT6T,1,1.0,1.0
4vitovy5N,4v.iOL5N,4v.iOL5N,0,0.5882352941176471,0.7058823529411765
YsbYNbDW,YSbyNbD,YSbyNbDw,0,0.625,1.0
3JaZL8l4e,aZ8l4e,3aZ8l4e,0,0.875,0.875
tUascgT,twasc9T,twasc9T,0,0.7142857142857143,0.7142857142857143
78z5Dc,78z5D&,78z5D&,0,0.8333333333333334,0.8333333333333334
L3gtuKi,L38tuki,L38tuki,0,0.7142857142857143,0.8571428571428571
xQd4p43e,XQ7p3e,XQdaP43e,0,0.625,0.875
MCSp,MCsp,MCsp,0,0.75,1.0
KPsD2fI,KsPR2fl,KsPR2fl,0,0.5714285714285714,0.5714285714285714
rap8H6,rap8H6,rap8H6,1,1.0,1.0
GQ4eDrM6,G4edM6,GQ4edM6,0,0.8,0.9333333333333333
ay26,ayr26,a^26,0,0.75,0.75
B0WTbk,BOWTOK,B0W7OK,0,0.5,0.6666666666666666
Qhhosp,QnhOsp,Qnh0sp,0,0.6666666666666666,0.6666666666666666
YFg5,y7g5,y8g5,0,0.5,0.75
5AvS,5AVS,5AVS,0,0.75,1.0
zvraLcRJI,Zv~aLcRJI,Zv?aLcRJI,0,0.7777777777777778,0.8888888888888888
SCmmuZM,$C^nmUZM$,$C^rmuZM,0,0.6666666666666666,0.6666666666666666
1tZb3BxJo,1yL63BXJO,17L63BXJ0,0,0.4444444444444444,0.5555555555555556
Gf4TM8,Gx4TM8,Gx4TM8,0,0.8333333333333334,0.8333333333333334
Ltq1,Lta1,Lta1,0,0.75,0.75
gLtkxu,gLtktu,gLtku,0,0.9090909090909091,0.9090909090909091
SJTU,sTU,s7U,0,0.2857142857142857,0.5714285714285714
JIILSp,jIVSp,j1VSp,0,0.36363636363636365,0.5454545454545454
Ze9Mn,e9Mn,e9Mn,0,0.8888888888888888,0.8888888888888888
tm3GJ,TM3GJ,TM3GJ,0,0.6,1.0
ZslK6,LSIk6,LSIk6,0,0.2,0.6
RURbDMzl,pURbDMZ,pURbDMZ,0,0.6666666666666666,0.8
XbtM,XbtM,XbtM,1,1.0,1.0
YJ74,YY74,YY74,0,0.75,0.75
IlzqwQfG,I7ZqWQfG,IZaWNQfG,0,0.5,0.75
9zzL,9vZL,9vZL,0,0.5,0.75
Uj5daSb8I,Uj5dasbs8I,Uj5dAsb8I,0,0.7777777777777778,1.0
OsZEflkk,Oszexllkk,OSeZ7xkK,0,0.375,0.625
tJRma,tjRma,tjRma,0,0.8,1.0
o4BXO,OBNOXIOUS,OB^2X^O,0,0.5,0.6666666666666666
oEtU,OEtU,OEtU,0,0.75,1.0
CmrcOR,GMrCOR,CMrCOR,0,0.6666666666666666,1.0
hr1wEK,hrlwEK,hrlWEK,0,0.6666666666666666,0.8333333333333334
dN1d,Dm>d,DmNd,0,0.25,0.75
zvraLcRJI,ZvraLCRIH,ZvraLCRJH,0,0.6666666666666666,0.8888888888888888
AL3E,AL3E,AL3e,0,0.75,1.0
xrnS1b247,xr^S1b241,xr^S1b241,0,0.7777777777777778,0.7777777777777778
ZZtpptuKa,ZztpRtuka,ZztpRtuka,0,0.6666666666666666,0.8888888888888888
XzTZ,XzTz,XzTZ,1,1.0,1.0
mRNsiEf,MRNSifE,MRsnsif,0,0.5714285714285714,0.8571428571428571
7EER,1EER,1EER,0,0.75,0.75
lU0QFV4,l0QFv4,I can't help with identifying or extracting text from this image.,0,0.027777777777777776,0.05555555555555555
1daMKcm,zdaqkcm,tdaKcm,0,0.7692307692307693,0.7692307692307693
uaDd,u'Dd,uWDd,0,0.75,0.75
WCTKzRA00,WCTKzRA00,WCTKzRAQ0,0,0.8888888888888888,0.8888888888888888
6ZBVe7Zev,6Bevev,6Bzezev,0,0.625,0.75
MQxU6D,MPXU6D,MPxU6D,0,0.8333333333333334,0.8333333333333334
ya19,YA19,KA9,0,0.2857142857142857,0.5714285714285714
DDPy9ps,DDpy9pS,DPy9pS,0,0.7692307692307693,0.9230769230769231
UkaB1yj,UkaB-yj,UkaB-yj,0,0.8571428571428571,0.8571428571428571
ZjXGzfF9Oc,jxGZf90c,jxGZf90c,0,0.4444444444444444,0.7777777777777778
Ji6hNbg,j6Hnbg,j6HNbg,0,0.6153846153846154,0.9230769230769231
h6tnpzy1,h6tnpZJA,h6tnpZJA,0,0.625,0.75
6gwW,6GWw,6GWW,0,0.5,1.0
Ze9Mn,e9Mn,e9Mn,0,0.8888888888888888,0.8888888888888888
78z5Dc,78L5DC,78rz5DN,0,0.7692307692307693,0.7692307692307693
UkaB1yj,ckabzyj,ckabxyj,0,0.5714285714285714,0.7142857142857143
3Yb76mT,3Yb6m,3Yb76m,0,0.9230769230769231,0.9230769230769231
3ZcnB9N3,3cn9N3,3c9N,0,0.6666666666666666,0.6666666666666666
6gwW,6GWW,6GWW,0,0.5,1.0
Drtq,Drq,Drq,0,0.8571428571428571,0.8571428571428571
8XoHBCAv,8XC0HBCA V,8XO0HBCAV,0,0.7058823529411765,0.9411764705882353
fO4Of,f04Of,fO4Of,1,1.0,1.0
PjzDk,PjlDk,PvlDK,0,0.4,0.6
09y5e,OgySe,Ogy5e,0,0.6,0.6
3IuveJl,3IuVe^1,IuVeA1,0,0.46153846153846156,0.6153846153846154
d3hg,d3ng,d3mYg,0,0.6666666666666666,0.6666666666666666
PmIy8OKG,PmIy8OkG,PmIy8OkG,0,0.875,1.0
m0llnC,mVnC,mVnc,0,0.4,0.6
nNO5,hnV05,hnV05,0,0.4444444444444444,0.4444444444444444
rZINbRpr,R21NbRbR,r21NbRbR,0,0.5,0.625
CqZ3,CQL3,CQLZ3,0,0.6666666666666666,0.8888888888888888
sNRzI9r,S_NRvI9r,SNRvI9r,0,0.7142857142857143,0.8571428571428571
V005,V05,V00S,0,0.75,0.75
y7D6AZJqN,YD6AZqN,YD6AZqN,0,0.75,0.875
y7D6AZJqN,J7D6AZqN,J7D6AZqN,0,0.8235294117647058,0.8235294117647058
QSeAe,QS&E,QSAE,0,0.6666666666666666,0.8888888888888888
ZTnYSGg3,zTnYsGg3,zTnYsGg3,0,0.75,1.0
Aeaz,Aeaz,Aeaz,1,1.0,1.0
JhHn,Hhn,Lhn,0,0.5714285714285714,0.5714285714285714
6KAHAVZm,6kAHAvk>m,6kAHAvkNvm,0,0.5555555555555556,0.7777777777777778
uaDd,UaDd,UaDd,0,0.75,1.0
zH8aRa,ZH8aRda,zH8aRa,1,1.0,1.0
ZMkBM20,ZMKB>0,zMKBlNk2O,0,0.375,0.625
92ADqO,92ADaO,92ADaO,0,0.8333333333333334,0.8333333333333334
jBXnst,jBxnSt,jBxnSt,0,0.6666666666666666,1.0
88yQU,s8yQu,8yQuV,0,0.6,0.8
rn6xPU,rn6xpU,rn6xpU,0,0.8333333333333334,1.0
QyxP56f,QY56f,QYp5o,0,0.3333333333333333,0.6666666666666666
IHsBxfYuD,IHSBXKd,IHSBXxYWO,0,0.5555555555555556,0.6666666666666666
bcKp3,BCF+Q3,I+PQ33,0,0.18181818181818182,0.36363636363636365
qcVkPT,qCvKpT,qCvKpT,0,0.3333333333333333,1.0
AOqB,AQB,AQQB,0,0.5,0.75
ZslK6,LSIk6,LSIk6,0,0.2,0.6
ekH9,eKTH9,eKTH9,0,0.6666666666666666,0.8888888888888888
4kGRe,4KGR,NXGRe,0,0.6,0.6
D0QvbF3j,dOQvbfF3j,dOQvbfF3j,0,0.7058823529411765,0.8235294117647058
dKXJZXE,oFyZxE,dYJZXe,0,0.6153846153846154,0.7692307692307693
k4DizF4yxI,K4DZFXJ4M,K4DZFXJ4M,0,0.42105263157894735,0.631578947368421
u75N,u>5N,u>5N,0,0.75,0.75
g3JLmI,g31m\,g31m\,0,0.5454545454545454,0.5454545454545454
xU4U42g,XU4U429,XU4U429,0,0.7142857142857143,0.8571428571428571
ILqxLErt,LQXVYR,LQXVYR,0,0.14285714285714285,0.5714285714285714
coFClR5mq,OFClR5mq,C0FC71R5n9,0,0.42105263157894735,0.5263157894736842
u8t5c,u8t5C,u8t5C,0,0.8,1.0
2xBywz,2XB1wZ,2XB1wZ,0,0.5,0.8333333333333334
2Ffbq0TD3,2fbqTD3,2fbqOTD3,0,0.8235294117647058,0.8235294117647058
m2oqs0kx,m2O9S0kx,m2Q9S0kx,0,0.625,0.875
hw7vVb,hw7vLb,hw7vLb,0,0.8333333333333334,0.8333333333333334
ay26,ay26,ay26,1,1.0,1.0
Aeaz,AEAZ,4e8z,0,0.5,0.5
UGBN2bb,uGBN2b6,uGBNV2b6,0,0.6666666666666666,0.8
WdbC,Wdbc,Wabc,0,0.5,0.75
uHrGRWcP,UHRGWCp,uHRcWCP,0,0.6666666666666666,0.8
C3jqJ1Yklc,C3qJYkC,C3qJYkC,0,0.7058823529411765,0.8235294117647058
y7D6AZJqN,J7D6AZqN,J7D6AZqN,0,0.8235294117647058,0.8235294117647058
tUascgT,twascgT,tuaSCgT,0,0.5714285714285714,1.0
YfAgxv6Tn,VA8xv6n,VfAgxvo^n,0,0.6666666666666666,0.6666666666666666
yI4rv,V7rZ,4XZn,0,0.2222222222222222,0.2222222222222222
GrPr,GrPr,GrPr,1,1.0,1.0
WGn6,wGn6,wGn6,0,0.75,1.0
wYcIjPZG,wYc\*\rzLG,wYcLpzLG,0,0.5,0.75
VKGgi,VGAGI,VTGAI,0,0.4,0.6
tnjbUU5Hq,tnjb5H,The extracted text from the image is: **tnjb5Ha**,0,0.20689655172413793,0.20689655172413793
PXt2PvhH,p_t2pvhH,pXt2pvhH,0,0.75,1.0
rQFe,roFe,rOFc,0,0.5,0.5
P5LshzyT,P5lashzKT,P5lashzYT,0,0.7058823529411765,0.9411764705882353
hGX7QXd,hG4Qd,"I'm unable to extract or verify text from images. Based on your description, it looks similar to 'hG4Qd', but please check the characters closely for any nuances.",0,0.047337278106508875,0.047337278106508875
osjevtv,osjevrv,osjevrv,0,0.8571428571428571,0.8571428571428571
aAlW4,aAW4,aAN4,0,0.6666666666666666,0.6666666666666666
CMLb,cMLB,cMLB,0,0.5,1.0
qiUH,aICU,aIcU,0,0.25,0.5
rxEl,rxeI,IexI,0,0.25,0.25
Xtbt1O,ttbX1O,Htb1O,0,0.7272727272727273,0.7272727272727273
Hv7ir,HN7K,HN7K,0,0.4444444444444444,0.4444444444444444
u8t5c,u8t5c,4y8t5c,0,0.7272727272727273,0.7272727272727273
lEH1W7,/EH1\w7,/EH1\w7,0,0.6153846153846154,0.7692307692307693
78tNR,784NR,18NR,0,0.6666666666666666,0.6666666666666666
rxEl,rXEI1,rXEI1,0,0.4444444444444444,0.6666666666666666
oGjnpsjc,OGjNbS`iC,"I'm sorry, I can't assist with that.",0,0.13636363636363635,0.13636363636363635
i7iZ7u0,^iZuo,^iZuo,0,0.5,0.5
zfvyFP,ZfVyEP,ZfVyEP,0,0.5,0.8333333333333334
nPKR,NPRR,npRR,0,0.5,0.75
AknNyo,AknnyO,AknyO,0,0.7272727272727273,0.9090909090909091
AweT,AweT,ANeT,0,0.75,0.75
PtfMm9,ptfM9,PtfMn9,0,0.8333333333333334,0.8333333333333334
8bfR7wZi,8bkzWZi,8bkzWZi,0,0.5333333333333333,0.6666666666666666
AduEkr,AduEkxr,7quEkxr,0,0.6153846153846154,0.6153846153846154
vTn9,v1n9,vtg9,0,0.5,0.75
7aCS,7aCs,7aCs,0,0.75,1.0
j7JA,jJyA,jJyA,0,0.75,0.75
fO4Of,f04Of,fO4Of,1,1.0,1.0
SG494l,SGAGAL,SGA9AL,0,0.5,0.6666666666666666
gR659D7r7h,gR659D7Rn,gR659D7Rn,0,0.7368421052631579,0.8421052631578947
5euEN,5eUN,5eUN,0,0.6666666666666666,0.8888888888888888
wX7Qffy5,WXtoffY5,WXtoffY5,0,0.5,0.75
Hd0A8sry,HQDASRY,HQDASRY,0,0.26666666666666666,0.8
rZINbRpr,r<=NbRPr,r<=>NbRPr,0,0.5882352941176471,0.7058823529411765
Ppdc996b6,PpC906b6,PpdC996b6,0,0.8888888888888888,1.0
fynF9K,fMF9k,fMF9k,0,0.5454545454545454,0.7272727272727273
MQsDbxdHL,MOSDbyctrl,MQSDbxH,0,0.75,0.875
XOgzX,xOgzX,XOgZX,0,0.8,1.0
lQlskUPy,QISKPY,Q1skepy,0,0.5333333333333333,0.6666666666666666
sIEKRF4G,SJEKRF4G,S1EJKRF4G,0,0.7058823529411765,0.8235294117647058
DZ53IZX,D5311x,D5311K,0,0.46153846153846156,0.46153846153846156
TBlNXcxk,TBMyXcK,TBMyXcK,0,0.5333333333333333,0.6666666666666666
dKXJZXE,qJyZxIE,dnjZXxE,0,0.5714285714285714,0.7142857142857143
6xMGb,6XMG3,6XMCB,0,0.4,0.8
oUzfO,OZZ0,oXzO,0,0.6666666666666666,0.6666666666666666
MQxU6D,MPXU6D,MPxU6D,0,0.8333333333333334,0.8333333333333334
DvJm51,DVJm51,DVJm51,0,0.8333333333333334,1.0
nPKR,nPkR,nPkR,0,0.75,1.0
hybu,hybu,hycu,0,0.75,0.75
m2oqs0kx,m2O9Sokx,m2Q9Sokx,0,0.625,0.625
ccet,ccet,Cc@e,0,0.5,0.75
DfqsbPn,Dfqsvopn,Dfqsvopn,0,0.6666666666666666,0.8
wCwdZc,WCWDZS,WCWDZS,0,0.3333333333333333,0.8333333333333334
gVM4,gVm4,gVM4,1,1.0,1.0
eibgGJw,ei0gGJv,I'm unable to determine the hidden text from the image.,0,0.0967741935483871,0.0967741935483871
exgs,exgs,exgs,1,1.0,1.0
8XoHBCAv,8x0HBCAN,8x0HBCAV,0,0.625,0.875
wXzk4p,zXzK4p,zXZk4p,0,0.6666666666666666,0.8333333333333334
5tYKCh,5tvKCh,5tvKCh,0,0.8333333333333334,0.8333333333333334
YJ74,Y74X,Y74N,0,0.75,0.75
Anqsdxb,Ahasaxb,Anasaxb,0,0.7142857142857143,0.7142857142857143
uaDd,UaDd,UaDd,0,0.75,1.0
Oe1udo,Oexdo,Oexdo,0,0.7272727272727273,0.7272727272727273
fqgYZxL,logY>xI,fqBY>xI,0,0.5714285714285714,0.5714285714285714
0jw1ZgxK,ojw^zgxK,oiv^nZgXK,0,0.35294117647058826,0.47058823529411764
LcUvaGa,LCWGDa,LCWQGa,0,0.46153846153846156,0.6153846153846154
j0G9fIGlb,J0GofIGVb,JOGoflGVb,0,0.4444444444444444,0.5555555555555556
230a5s,230a5S,230a5S,0,0.8333333333333334,1.0
ya19,yA19,yA9,0,0.5714285714285714,0.8571428571428571
S7wtR,S>wtR,Sw>tR,0,0.8,0.8
7ula8,7uva8,1uva8,0,0.6,0.6
45Da,45Da,4S6a,0,0.5,0.5
dKXJZXE,JZE,dJZExE,0,0.6153846153846154,0.7692307692307693
uAsg,UASg0,UASg8,0,0.4444444444444444,0.8888888888888888
hr1wEK,hrlWEk,hrlWEk,0,0.5,0.8333333333333334
2qc7,299,2q9,0,0.5714285714285714,0.5714285714285714
6IEna,6TEna,6TEnA,0,0.6,0.8
PvGlnZ,PVG7NZ,PVG7NZ,0,0.5,0.8333333333333334
yI4rv,17RN,17RN,0,0.0,0.2222222222222222
eILpu3,ELPU3,ELPUB3,0,0.3333333333333333,0.8333333333333334
0hvi,ohVi,oWVi,0,0.25,0.5
H6dM,H6dM,H6dn,0,0.75,0.75
XbtM,XbtM,XbtM,1,1.0,1.0
4vitovy5N,4V1O5N,4v1O5N,0,0.5333333333333333,0.6666666666666666
rSGjoOj,rSGjooj,rSG0Ooj,0,0.5714285714285714,0.8571428571428571
k4uXNK,f4UXNK,f4UXNK,0,0.6666666666666666,0.8333333333333334
ShpRsJ,SJP,SHPRJ,0,0.5454545454545454,0.9090909090909091
