Actual Solution,Predicted Solution,Result
X8AC,"XBAC
",0
VEYD5,"LEYD5
",0
7WYIF,"WIF>Y
",0
HBPC,"HBC
",0
SWB6,"SWB
",0
TUNR,"TURN
",0
lQQAW,"IQPAW
",0
AfPBiHvKr,"ApBihVkrr
",0
TYXTMG,"TXX2MG
",0
EHC5,"Ea6
",0
hw7vVb,"hw7vlb
",0
TQJ6,"TQJ6
",0
7YKX,"λK+
",0
Saeidw4,"SaeÅw4
",0
XhA2UBj,"XhA2U8j
",0
jf4mSA2,"if4mSA2
",0
cQQetxb,"∞Qℓx+6
",0
B5X6,"B5X6
",0
HCMA,"HOM4
",0
tPTJLWD,"tPTJkWND
",0
23WG,"23WG
",0
5QVpQaRK,"5Qp0qRk
",0
Vl4PCAoS,"V7APCG0s
",0
oDNG,"ODNG
",0
v8HF5fNh,"V8HF5fNh
",0
uuxNmO,uuXNmo,0
aXCYF,"axCYf
",0
foWNL1JU,"fOwNLUJU
",0
7Hvf,"7HVf
",0
oVOsf9B91,"OOf9Bb1
",0
RC6Jco3,"RC6xO3
",0
QROM,"Zoom
",0
E6EtL,"E6Erl
",0
DWJ8,"DW8
",0
UdXD,"UdxD
",0
cZkbh40TB4,"cZkbhA0lambdaB4
",0
XOgzX,"XOgZX
",0
DUXX,duX425,0
gLkSdnCt,"gLkSdnCt
",0
2Ffbq0TD3,"fbqOTD
",0
jraOh,"NxOh
",0
HYAX,"HYAX
",0
6VSjBcNL,"6VSiBCN<
",0
TYURtD,"TYURtD
",0
n70m,"n70m
",0
Njcw2DPNz,"Njcw2PNZ
",0
T54R,"T54R
",0
n3mPcJ9,"n3mpcy9
",0
fUUXLC,"FUUTLC
",0
VzPaH,"v2paH
",0
PNFPfx,"PNFAF X
",0
x41UA7s,"xAlUAt7S
",0
DtwKhwx,"DtwknWX
",0
dg67X,"d67X
",0
Tasu0aQ,"TASUOAC
",0
oBUACb4,"oBUACba4
",0
Flf1ih,"Ffizh
",0
nWBa,"hwBaq
",0
lPYk,"/PYk
",0
4Ds06,"4Ds06
",0
48uDf,"48udf
",0
HgQvSgP,"HgQVsgoP
",0
gQ8wP,"ge8Wp
",0
QYH7,OhMy,0
0oWtNMw,"0OWtNMz
",0
Hvd8EpAMj,"Hvo8EpAMj
",0
ydMz3CV2,"ydM3CV
",0
DqZ0lw,"Dq2>0w
",0
SrP7,"SRp7
",0
sooWM,"SOOWM
",0
6TYpAI1J4,"6Tyr0417J4
",0
kwgMdF3,"1kwgMdF3
",0
UCQj,Ucqj,0
D0kZSizc,"D0kZSize
",0
iAtjAnr9D,"iAtjANr9D
",0
qusvtEq1I,quSVEtEqr,0
TTPP6,"TPR6
",0
5OU4,"5OU4
",0
4v4drW,4VAdrw,0
wYLh98,"wYLh98
",0
Oecr5BfeS,0ecr5Bes,0
yKnc,"YKnc
",0
KOkXN,"KOKKN
",0
WC5M,"WCSM
",0
xxbS,"xxb0S
",0
1B6nXno,"IB6nXnO
",0
PjzDk,"PJ1DKk
",0
WqMQ,"WMQ
",0
xjORcRRF,"xjOrCRRF
",0
nJGxW55Q,"nJGxwSSQ
",0
O5ZVPS,"O57vPs
",0
bWDatLvOs,"bwDatLVOs
",0
a9ZMYMM,"a9ZMYMMM
",0
S4f1GgIa,"S4JG81a
",0
8o8e,"808e
",0
o9eZT,O9ezt,0
z49IdZv,"9IdV
",0
N10Bd,"N0Bd
",0
iTsk,"itSk
",0
9hsIbl3f0a,"9hS7b13f0a
",0
NSU8,"NSU8
",0
a36X8,"a36x8
",0
7nj8r7iNY,"7nj8r7nY
",0
t4u1MlPf,"t4uIMPf
",0
F5VX8F9VM,"F5vX8F9VM
",0
IW0PTOP,"IwoPtop
",0
psHh8tSe,"PSHh8tSe
",0
RRGN,"RRON
",0
9e7C7,"9e1c
",0
uSFC,"UPFC
",0
aWXX,"awX+
",0
E8B3,"E8B3
",0
4gn57AvzN,"4gns7AVZzN
",0
P6MQ,"PBMQ
",0
RFvav,"RFvav
",0
oz87,"Qz87
",0
7D38fs,"7D38FS
",0
7TXM,"7TXM
",0
EXVF,"EXVF
",0
PyNzjgDUf,"PYNzjgxUf
",0
JGCM,"JccM
",0
SQCF,"SQCF
",0
e9W4Q,"e9w4Q
",0
WhLH61bf,"WhL6bf
",0
6gwW,"6GW
",0
qwCOErnAc,"qwCOERnAC
",0
FkWqSNAGC,"FkwAsNACc
",0
mUjZ,mujizz,0
RUHB,"RUHB
",0
UNEW,"UNEW
",0
ZDNdg9E,"pwdg9E
",0
uyX8,"U1X8
",0
joaSvW9,"ioaslw9
",0
XBQS,"XBDC
",0
n0u5K,"now5k
",0
LcUvaGa,"LCWAGA
",0
ZyUE,"ZYUE
",0
QIya,"Qlya
",0
TBXW,"TBXWV
",0
27EZ,"fe27
",0
ILqxLErt,"LqxVxr
",0
4DeP2eiiZ,"4DeP2eiiZ
",0
7Z2Z4Il,"RZAAV
",0
ksBfImN,"ksBflmN
",0
WzOh,"wLOh
",0
UBuQD263,"UBuQs2σ3
",0
c2Gm,"CGm
",0
j0G9fIGlb,"0GoffG\b
",0
TMYak,"TMYAK
",0
BEP1W,"34PIW
",0
lG65toH,"L6STOH
",0
MYW7,"MYW7
",0
o0CSh,"00Cshr
",0
1R0Ayh3sV,"1R0AYh3sV
",0
B3MU6s,"B3Mv6s
",0
7hUfDo,7hu0,0
modwVQf7,"mOzwQf7
",0
DywOia5,"DYWOi25
",0
IbGCJVH0l5,"pbGCJvh5
",0
my7bute,"MY7BUTE
",0
w16U5VG,"W16U5VG
",0
Bvc6H94,"BvC6H94
",0
NPrV,"NprV
",0
NJDp6a6xj,"NDb6a6tj
",0
53eP9uez,"53ep9uez
",0
1jx6,Iro,0
2Tf1,"2xfl
",0
X93fv9r5,"x93fV9r5
",0
xM2yeWIKYt,"wyewKyxt
",0
6Ggf,"6CGF
",0
Rh4PjX,"Rh4PJx
",0
ZLJPTxNNxP,"ZJPTXNXP
",0
dU36jX,"dCU36jx
",0
GbpEV,"GbpeEV
",0
2Vb5c,"2Vb5C
",0
tl3Ja5UKl,"thea5UK
",0
s13PR2ja,"s13PR2ja
",0
evp4uRp,"ev14uRp
",0
H8BJ3c5y,"H8BJ3C5Y
",0
kxp9xdbq,"kxpx9xdbq
",0
rd7v,"MrV
",0
d4Ut,"dAtU
",0
sgUJ2P8,"s8UJ2p8
",0
E8RY,"E8RY
",0
4d1UUhaE,"4daUEUhqE
",0
NETV,"NETV
",0
iV9oe4,"N9OE4
",0
RMQM,"RMaM
",0
WMXQ,"WMkQ
",0
N2lcvPbP,"N2lCvp6P
",0
VJUD,"VCdD
",0
mbJV2c,"m6JV2C
",0
nqq8,"n9p18
",0
TE964ypUz,"TE964yPUK
",0
UNpF0ii,"U^nPF0ii
",0
ncLFhs,"nCLFhs
",0
W5FCxmLO,"W5FCxmLO
",0
g11mQ4y,"G11MQA4
",0
wqRG7,"wqRG7
",0
L6rI4kj,"v6r4kj
",0
Q57u1up7O,"Q57UxP7O
",0
aQJh,"aqJh
",0
fp5R,"xP5R
",0
piFdvw,"PiFdVw
",0
lkDM,"lkqM
",0
q2dw3FI,"q2dw3FA
",0
hAWAiWWIq,"hAwAw\w\q
",0
zaBlh5s,"Zab45s
",0
wOZYf,"wOZ Yf
",0
fyOvVoS,"fYoVvas
",0
zvraLcRJI,"ZvraLCRIj
",0
Bfb36t,"Brb36x
",0
iIJD0K,"Nudok
",0
n81D,"n87D
",0
RjOSti,"RjOsti
",0
xqKfIpU,"xqkfnpU
",0
1UT49x,"^UT49x
",0
qF1ZHKarX,"a7Hkart
",0
JdAM,"Jj0M
",0
Z19dYO,"ZPdγO
",0
6L9Maje,"69Maje
",0
01AU,"qAU
",0
P6vBSrnt,"PsigmaVBsmt
",0
TLwoh,"TwOh
",0
map1t1,"map1ta
",0
YhytE,"YhytE
",0
dFVCRyL,"dAVCRYL
",0
ZZLE,"Z4E
",0
oEtU,"OEtuU
",0
u1KAT,UAT,0
dkygPe2Ba,"dKYgOPE2Ba
",0
FfHB17F,"FfHB^7F
",0
XWPY,XWAY,0
jCufHpl,"icuHfpl
",0
UVHQyb5,"UvHqy65
",0
VD6qzaaq,"VD6AZa09
",0
EKQE,"EKOE
",0
cWfhs,"cwfhs
",0
fVmh,"fvmh
",0
jxzX,"VX1X
",0
As5WXg7x6,"A5wXg1X6
",0
VBVm,"VbUuQ
",0
XB7J,"XBD
",0
SrghDpT,"SrghDPt
",0
H2tkeL,"HK2kL
",0
iOCgFN9,"zOCsFN9
",0
XybwC,"XybcNC
",0
Dytq1H,"Dyt91H
",0
2xBywz,"2XBYWz
",0
Ec1b,"EcV8B
",0
vvFF,"WPF
",0
QmJHDI,QmJHD,0
ynayFs,ynays,0
rPGe01s,"rPGeds
",0
aAlW4,"aAW4
",0
SWm8,"Swm8
",0
JaTG0B,"aTGOB
",0
dWFGq,"dWegg
",0
2X3J,"2X3J
",0
FBDm,"FBDm
",0
VAFE,"ATE
",0
g0mY,"s0mY
",0
WjeO,"WjeO
",0
WJnhAYfV,"WJNHAYFTV
",0
lNCyF1,"NoCyF1
",0
xJCuG,"xJCUgG
",0
2ZWbuFiW,"2wbufiw
",0
FBEJ,"FEEJ
",0
2VBMT,"2VBMT
",0
FHFy,"FHFY
",0
su9tB67p,"SU9TB6JP
",0
SVNB,"SVNB
",0
IGCH,"secret
",0
SN3URehc0,"SN3URehc0
",0
Ac48,"Ac48
",0
RYJvbTm,"RYJvTbTm
",0
Hqps6,"HqPS6
",0
XOLu,"XOLU
",0
ZSlw7,zSqw7,0
JT5bN,"TION
",0
8Hmv9m,8HmV9m,0
QH3V,"QH3V
",0
N0QX,"NOQX
",0
LbIEX,"cbkX
",0
uhnneQ9,"Uhzhe9
",0
RtqVM,"RkqVM
",0
5S4R3,"SS4R3
",0
sFMy,"SFMy
",0
EFVZm,"EFVZm
",0
MNUE,DANCE,0
pktjJrR,"PNxtjjrR
",0
Ti8u6,"Ti8u6
",0
NeKnGc,"nekngC
",0
Y9XrqlF,"Yg+rglF
",0
FBYC,"FB3YC
",0
ZTZY,"ebay
",0
StC9,"StC9
",0
uEim0Z,"uEim0Z
",0
0mDhtEKTMS,"0mDhEtKTMs
",0
5M4E,"5M4E
",0
zERP,"ZERP
",0
7XWpeO,"Xwpeo
",0
GOtSkT1Z,"GOtS17Z
",0
YOZD,"Yield
",0
lh1R50wk21,"mIRRQW721
",0
1daMKcm,"adarkcm
",0
Eye66HW6HI,"Ee66HW6H\
",0
srbi6,"Srbi6
",0
ZG2Rz6P9Cf,"Zg2Rz6P9cf
",0
FXuEie9,"FXukie9
",0
YN5oz,"YN5Oz
",0
5XpiW,"5xpiW
",0
jvD25P,"jND25P
",0
9Fi6,"9Fzσ
",0
wPRv1,wPRV1,0
56NX,"5aNX
",0
dGGW,"dGGW
",0
zZcqji,"zZcqji
",0
5r4LLAs,"5r4KLAS
",0
UhAy,"U h A y
",0
88wS,"88wS
",0
YUWK,"YUVVK
",0
N6YX,"NBX
",0
yUO3dax,"yUo3qdx
",0
USPI,tS6o8,0
CPXr,"dPx
",0
EH4H,"EAHH
",0
XB90,"XB90
",0
faBf,"faBf
",0
45F6,"FOG
",0
1l5VQS78F6,"115vQS78F6
",0
X474,"X44
",0
sbZpPNvhY,"sbZppNvY
",0
hXoi,"h+o1
",0
VZpSs0BVJ,"vnpsS0BvJ
",0
avPyrnPO7,"avryr07
",0
RX4E,"RX4E
",0
5dH4,"5dH4
",0
MsDp,"Msp
",0
C9z8nhS8,"C9esnssf
",0
6kp76eOD,"kp76eUD
",0
klrGPL,"KRGP!
",0
BNBN,"BNBN
",0
iaEXFMD,"i4AEXFMD
",0
8VsAq,"szAa
",0
GyjsG4vp,"G4lypsG4lR
",0
OQNR,"QGNLR
",0
HS9VlRw,"HSo9LIRW
",0
FQ8T,"FQ8T
",0
24csJlq7,"24Csdl97
",0
gYSTMt,"gyskMt
",0
A8EgG,"A8EGG
",0
9FcAgK,"9FCAgK
",0
FGCZ,"FgCZ
",0
OlX3bGK,"OAx3bGK
",0
Gcis,"GCS
",0
Nndl0c,"Nnalpha0C
",0
B1xt,"Bx
",0
RFBH,"RFBH
",0
CNt9h,"Cv9h
",0
LLPF,WowPE,0
bTvmEl,"bTvmeEl
",0
PXMGdzlGt,"PxMGdZlG
",0
EB2g,"EB29
",0
8oem,"80EM
",0
z9DU2V,"29DU2W
",0
NYd5PX5Ed,"Nda5PX5Eq
",0
mRNsiEf,MRNSIiF,0
