Actual Solution,Predicted Solution,Result
5RBB,5RPZ8,0
npDyAlI,RoyalMail,0
7EER,13ER,0
sivEvO,sjNELVO,0
EPNK,ePaVLe,0
QVFV,a7x,0
kXlfSJJ6,"kXfsJ6
",0
CpVp,rVp,0
C0vBfrP,"COVERfRP
",0
IHO0k,HOOK,0
Ad25YTCQ,Aq25yTCQ,0
8A8G,"8A8G
",0
Z5RzwChp,"Z5R1wChp
",0
mvA5tHjI,"mV45thjI
",0
lnD2gJ,"nD2gJ
",0
SO7U9PW,SoU9pWN,0
fdPu8,fdPu8,1
H65Y,"H65Y
",0
6rAY,6rA,0
cdJLxr,cdLxr,0
OWhMrR3V,OWhM1R3V,0
5pxgJ3m,5pxg3m,0
JCT6,"JC76
",0
fRtmmql2T,fRMmz912T,0
PZ3D,PZRD,0
alClAZYwl,aVcAZYyN,0
Okibcnu,OxbcnU,0
JB2lvon2o,B2v0n2o,0
Vs78H88gE,VS8H88gE,0
aucl,aUc9I,0
X8AC,XBAC,0
VEYD5,"VeyD5
",0
7WYIF,WiFiY,0
HBPC,"HBPC
",0
SWB6,SWB12,0
TUNR,TUNR,1
lQQAW,iQAω,0
AfPBiHvKr,APBirthdayVKr,0
TYXTMG,TYXMG,0
EHC5,EPK06,0
hw7vVb,hw7Vlb,0
TQJ6,"TQJ6
",0
7YKX,ZxKt,0
Saeidw4,Sae4oWN,0
XhA2UBj,xhA2UjB,0
jf4mSA2,jfXmSA2,0
cQQetxb,CQextb,0
B5X6,"B5X6
",0
HCMA,HMAC,0
tPTJLWD,tPTJLDW,0
23WG,23WNG,0
5QVpQaRK,5QpQaRk,0
Vl4PCAoS,VIPCos,0
oDNG,ODNG,0
v8HF5fNh,"V8HF5fNh
",0
uuxNmO,UnixNmo,0
aXCYF,aXGYf,0
foWNL1JU,FOUNDJU,0
7Hvf,7Hkvf,0
oVOsf9B91,O0sf9B1,0
RC6Jco3,RC6kO3,0
QROM,ROM1,0
E6EtL,E6E7L,0
DWJ8,Pw8,0
UdXD,DbXD,0
cZkbh40TB4,czkbh407B4,0
XOgzX,XboxGameZ,0
DUXX,DUST2005,0
gLkSdnCt,LostInNoct,0
2Ffbq0TD3,2fbqoTD3,0
jraOh,JkaOch,0
HYAX,HYAX,1
6VSjBcNL,6VsBCNk,0
TYURtD,TYUatD,0
n70m,n70m,1
Njcw2DPNz,Njcw2PNz,0
