Actual Solution,Predicted Solution,Result
tkShLM4k,tksLAk,0
7GXW8ZM,10x8ZM,0
6PFzW2,6PFZw2,0
nYaujLh,nyauLh,0
5S6FXsf,5usAXSf,0
HZQZ,HEQZ,0
bnexevl,bnxeVI,0
PXFT,Px4T,0
T7dT,T7dT,1
GGItHl,GGJKHL,0
BH2KZV,BH2kV,0
Vbpi,1bpi,0
ZPEJ,ZPEJ,1
d8PQx6B,d8PQx6B,1
HEpXQLV,HEPdOv,0
eCT4,eCT4,1
wtfyRpeF,wtfRpeC,0
QRphJ6y,QRphJ6y,1
TgyORLk,T8YORLk,0
qhGyX,qhQKX,0
2NEylHff,2vENHff,0
I1idrEb8W,ViLdEb8W,0
cSr2SSU9,csr2SSU9,0
NkZ49,Nk149,0
x2IW,x2W,0
y135hj,yK35hj,0
XRFA,I can't help with that.,0
UkD9ZFX,UkD9lAX,0
Ztps6,N7ps6,0
NBqLZF,N8aZF,0
bHE8,DHE8,0
0qBw0,oq8w0,0
xZdA,XZdA,0
CmrcOR,CMRCQR,0
4FSN,4FSN,1
uNOmT,uOmT,0
sQGxrU8,sQGrx8,0
G4fmKz,G4fnK2,0
7ai45Wj6W,pqi5joW,0
EXTF,C7eT9,0
wqNC,wqvC,0
WwOdqj,WwOdqJ,0
U6yz,C6AwZ,0
PM67,PN67,0
K4YG,K4YG,1
SGxCd4C6Lv,SGxCd4C6IN,0
WG7M,wG7M,0
FhFEE1rBM,eHFEIrBM,0
pHIgS,pHgS,0
K46B,K46B,1
TzY88TEZ,TZY8tEZ,0
IbY3K2,IbY32,0
UF8CQo,UF8CQO,0
8LieUY,8Lleuy,0
IsdiF2,1SqiF2,0
bW4Uj9,6WACj9,0
M4gDMW,NAGDMW,0
FUBcY,FU3CY,0
1il6PpSUe,li^oPpSue,0
795OO,79500,0
tyt3Ox,tyx3Oz,0
wlmCS,wlmCS,1
XLEN,U5XAt,0
37UBR0J,3U8ROJ,0
MzYM5q5,Mxyz595,0
7FDRZ,7DRZ,0
eNKc,eNKC,0
vTn9,vtg9,0
fxyp7LKjC,ftYpNVkjC,0
97uPNu,9YPNU,0
AdXh,Ap4n,0
GCtwp,GCtwp,1
WjMe,WNMe,0
B7qJ,B7q,0
nMeorW,nmeorW,0
vKqOuRIz,vkWuXplz,0
YBBS,YBBS,1
65jGvO87,65jQV08J,0
Hb0a2fu,HBOA2FU,0
tfyJ5FxliS,tJ5FXjs,0
US23C,ls23C,0
H0SBTZn,H0SB7ln,0
VVD5B,WD5B,0
ewarel,eWarel,0
sRGqUx5Ni,SRG9UX5Ni,0
mIA8,mIA8,1
L95zm,9xUpq,0
WIjWCT8m,WiWcT8m,0
sozbxJY2h6,s0bXY2ho,0
KEZT,KEZT,1
1jnDg,Iynd8,0
3u7e,3u>e,0
8xKXFhyFW,8xkXeHYFW,0
AK84,AK84,1
3cOg1nRB,3cOg1nRB,1
IeIpZqJIf,IEIPZJF,0
2WpjIoC1,2wpj0C1,0
akYb,aNYo,0
XBLHFghgh,XBLFghgh,0
BSJqnVW,BSJ9nVw,0
2zgjm,2v8gm,0
qq4em6iN,a94em6iN,0
wwf3P,LwfnP,0
wwQj9,WWQJ9,0
M3CX,M3CX,1
vcdHBeF7,vCdHBeF,0
frgFZ,fNgFZ,0
3B3D,I'm unable to process the image directly or extract the CAPTCHA text from it.,0
d9d1iQvt,d9dQvt,0
umiY,uNYI,0
dpqdqxTt,d9q9Xt,0
uwjTi,uZjTi,0
MWPE,MNap8,0
XXRC,5fXT9C,0
not4,n0t4,0
gVM4,gVM4,1
ShcJw6K,SnCJw6K,0
8UUdtEkDe4,8UvdtekDe4,0
I8iA4h,I8iAh,0
Xfdjjv,HgjiN,0
4a3MWP,4Q3m4P,0
a0Y7rYtxK,A0Y7RYTXK,0
d99aeHmi,d99aeHmi,1
P5bx2DS,p5Bx20s,0
xItbL59o,xIb159O,0
2P7DSiXU,2P7DSIXU,0
zHlzQ0,xHzq0,0
C8JK,C3k,0
1WSR1,1WSR1,1
U6pjh1z5k,U6pjAZ5k,0
KHdar,KHDaK,0
Qvj6,eLiv6,0
IYhNWIs,IYKNWIs,0
4iO9v,4i09V,0
zDqC,1dqC,0
LQBIulFCy,IQBUlfCy,0
uhS057I1,uXS057Yl,0
fqgYZxL,fqgyx,0
e5wfz,e5wfz,1
3UBS,3UBS,1
CS2b,C2b,0
cYy3ZeU8z,Cy3ZeU8z,0
iSZU6alii,SzU6avi,0
EPWU,EPAX,0
eK1xOR,ek1XOR,0
1tBc7UGF,1BCUGE,0
co0eSs,C0desS,0
RsxLFXs,RSxFHS,0
5HfsSIqJ,5hFSSlQU,0
0vgGRZB,OVGRB,0
VLTY,I cannot complete that task.,0
qWGAna,qNvGna,0
FES3,FES3,1
RMHK,RMNK,0
ICSF,ICSF,1
ZjXGzfF9Oc,JxGZf90c,0
ZgbZU,zgb2u,0
dvF1LEfQi,dvx1LEfi,0
Kpe5vR,Kpe5vR,1
R8kUaPl,rs8Kaf,0
8J3C,8J3X,0
WSXR,WSXR,1
5QQM,3QAM,0
To3AFQzN,TO3AFQZN,0
zhx3,zhk73,0
2KEN,2KEN,1
Cdqq,Cdbq,0
tqYZzxPnO,tqYZZxno,0
MnjV99,mNygO,0
THSM,#HSM,0
0Djax,0DjaX,0
plwL4,PLWLA,0
mj6K4,mjqKA,0
K9lbp,K9kr9,0
OyxmI,OxYN,0
WdJgMkZH,wdJgOMkZH,0
KsNju04,KSNju0A,0
CRI7tFHRD,CRi7fixd,0
COiXqQ3,CoiX903,0
c9SvC,c9SzC,0
xMRa9,XMRog,0
tUascgT,twaScgT,0
JLzd,JxV7d,0
s597zC,Sg7c,0
7unMMJqV,7umnJQV,0
vIzyaNJ,VZvQNJ,0
sHuPWt,ShyPwt,0
mMNP1,fMAxj1,0
9BRqXQ17,9BRxQV7,0
7dPHu,7upHT,0
ALqx,AoNk,0
VQ5Nf,VQ5Nf,1
joQU3hB,j0pUBz,0
aNPd3VP,aNpd3VP,0
4H7MZ,4HMZ,0
WuOtlbL,zuOtVb,0
6U4E,6U4E,1
031j,0b31,0
hW53Z9H,hW53Z9H,1
rkW3kqDpIK,rkW3k9DPk,0
NT8KZiz,NT0KiZ,0
Z7XV8f,Z7xV8f,0
4DTio,4pT0,0
VvSt,Vszt,0
rsW2Yx,rsW2Yx,1
ZgePNe9u,ZgEPNe94,0
EQV1,EQV1,1
JQ8Q,bsQ,0
y6Hl1,V6lY,0
XPlH06,PHo6,0
2D4GZ,2DAG7,0
zxWcW,zXWCW,0
8Vd2G,8vdkx,0
rAL5Atb,rAL5Ab,0
GgWExsn,GWEXSn,0
IUEN,Kx3ar,0
8jSoqxA,I'm unable to process the image and extract the CAPTCHA text.,0
k4uD,4aJD,0
pHaa,PHAAA,0
BT68,BT68,1
b82z0I57,b82ZO157,0
YUa3,yua3,0
6Y8H,6Y8H,1
84vaZ,8aA4z,0
JLmT3BL,JYmT3BL,0
S1QZR,S1Q4R,0
yxDio,XpLio,0
7doT,7doT,1
da3Hp,dW3Hp,0
wlyM,VyNM,0
iZiH,iXnH,0
F5qpjc,F5qpYc,0
v4Ae5cn,v4Ae5Cn,0
UxnNTuL7,UXFNTUL7,0
IOAwP,bawnR,0
E6JxO,E94rO,0
Mrn9bI,Mrn9bI,1
lNImrx,WMx,0
QA0HbeDum,QA0HbEDUm,0
H4fghMZ7,5A9MnZ,0
rpjfcgMx,kxc5M7,0
6VijO,6zjvO,0
PcrSIAon,PCrsiAON,0
EFUW,TEPW,0
XWYVC,XWMVC,0
iPRjIP,iPrjjP,0
BN86,BN86,1
Ib9bBP,Ib9bB8,0
6TW3,6TW3,1
bdIc1XB,6dCIVB,0
RWJYB,RWYBB,0
8PUT,8PUt,0
eeT3H9PMyW,eeTEhoplMNW,0
R71eAqeji,R71eA9eY,0
5JWMMK,5JWNzK,0
xbTrlsf9,+BTRvsF49,0
09y5e,O9yse,0
ZFWbS,ZW6S,0
AykSDK,AYKSDK,0
H6UzDQcx,H6ZDQCx,0
xVotAE,XvOaE,0
ukI3zN,Uk43ZN,0
lGasJ,lGa5J,0
ndoXa,n9x8,0
NTY6,NTY6,1
EL24H,EL24H,1
MdN76,MaNV6,0
4Q5v,M67V,0
WNTF,WNTF,1
B8LF,B8LF,1
WNpd7uy5,wNpd7uy5,0
vJkGByb76,vJrGByb76,0
Tc9wX8,TC9W8,0
JQQX,J9gX,0
7mcU,PcyU,0
3ticR1,3tiCR7,0
lr4yhx,LR4YHX,0
1J5iAGzbi,kP5iAQ2bi,0
Gp3G2lcg,Gp3G21Cg,0
fdijQMpH,fλijQMpH,0
ON01iYM,ON01YM,0
8Yrpn41G,8Yrpn47G,0
smMG,SwMG,0
lEDwNDGN1,IEWNzDGN,0
VclgoOz,vgoooz,0
pfxHzEWNZ,pfxHzEwZ,0
sH55ND,SH5YD,0
QvvIeukX,QVview4x,0
XER6LUHw,XER6LUHW,0
92ADqO,92ADaO,0
XjP2whNu,Xjp2WhNu,0
3omr3IOw,30mBION,0
XCB1MQBl,XCB1QBl,0
Ibxk7X,bKtzx,0
bd3p,bd3p,1
QVZm,QV2m,0
rwRfjt,KNRfjz,0
ko2j,K07V,0
8dBWO,8dBwO,0
3Yb76mT,3Yb76m7,0
dLqIGn,dLxGN,0
up3o2,up302,0
VG3S1aS,VQ3sas,0
e4FodmvK,e4F0dmvK,0
U3T9Rt,U3T9Rt,1
DjKFY,DKFY,0
6aEy,6aAY,0
ef3NR,eF3rR,0
borxTYv,BORXTyV,0
RPDX,RPXY,0
4BTTqHvq2h,4BTcHva2h,0
uvYcPeLS,UWYCPeLS,0
ZO3Qvqak,ZObq9qt,0
bp9YMl,bPOYM1,0
dhs7Bs0,dhS7bsO,0
vYi2SuxA,vyR2suXA,0
PSqIA9Ul,pSqIAV,0
84bpTikvzQ,8bprikvZQ,0
qvvUxdZ,qwWUxdz,0
unvpua,Unvpeo,0
BqdvuOB,BQdnwQB,0
zHUow,ZHUOW,0
cHsUQ,cHSUQ,0
btwJ9l,btwL9Z,0
9M2guu,9m2auu,0
E4WC,E4WC,1
WKFT,WKFT,1
RPtmJdvO,RPtmJdVO,0
5vabwHet,5vabvHET,0
Ccfd,4eFD,0
k7kTMJlw,KKTVCwJW,0
6HskznyYhP,6HSKZNYhp,0
ZWZA,BNZA,0
AI5SKORZ,AI5SKOrz,0
S4fwtS,sXw5s,0
ir98P,ir98p,0
WZJRO,WZJRO,1
urjS,u7fS,0
BU9aJ9g,BueAgg,0
pKVvY,pPvVY,0
q8pc81VF,qpC84F,0
FJU2,FU2,0
wnqV9Cig1,wnqV9Cigi,0
6PuCLn9x,6PUCLN9X,0
NsczY5,NSCZY5,0
PGS8H,PGS8H,1
G64E,G6AFB,0
syaVpG,svAPG,0
I58GiRRxx,I58CiRRtx,0
AWOgukJ,aWogua,0
lrjWIKE7,lrjwKE7,0
G0uxkl,G0Ukl,0
fDaB,Da9B,0
E4RD,E4RD,1
Vgt0yTcvAE,vgtoTCvAE,0
8sF4S4RxT,8SFSARXT,0
6mowTmghy,6mowTmdohy,0
QB5G,OB5G,0
E8ijkx9niQ,E8ijkx9niQ,1
LqlHjR5U,LqXyR5U,0
Ei2eaypzKE,EzeaypZKE,0
CZ1KD,CzvKD,0
82mW3DS7,82mw3Ds7,0
5kuBgYx,5kUBgaN,0
NAYR,NAVR,0
E64bHf,E64bHf,1
cZhJKsf,cZhJKSf,0
2bhiJ3Va,2bhiJ3va,0
XYXY,xvxv,0
jMEL6p,jMx0p,0
JTHK,J7HK,0
RPDI1Y,RPDlY,0
enmABLwSXq,emhABLNStD,0
sq2Q,s92qQ,0
ODVjNx,ODiN4r,0
dSzyk,dSZYK,0
bcKp3,BC4PB,0
QxM1G15,QX4nc15,0
JaanY,JAaNY,0
fmaZb,rmAZb,0
HvxNk,HLXhNk,0
10gom4,NgomA,0
epL1c8zg,eprVcg8zg,0
5S2pGB,SS2PgB,0
YllG7OECt,YlG7OECt,0
f2Z2,f272,0
HuBpP,HUBpr,0
M8JIT6,M8YT6,0
nJGxW55Q,nJGXWX55Q,0
eJuP,ejUp,0
4HTLV,4HTV,0
ER8W,I'm unable to perform OCR on the image you provided.,0
E1VxSBJdG,FNXSBJdG,0
aT0vME,aY0VME,0
UFPS,I'm unable to help with that.,0
QK6Kf,pK6Kf,0
NAC5,VAC5,0
D0QvbF3j,DQQVBFL3I,0
6IqnAiZn,6ynAizn,0
jWGFuZ2vt,jwgFuzYt,0
1wexWQ,/wEXWQ,0
lJ5Si,vRSri,0
5RBB,5P3B,0
oKE1hry8,OKE1hY8,0
vPA1eN,vPaEN,0
4NEivMrW,4NEiMrW,0
Ym8S0Pjnz,Ym8S0PnZ,0
M63K,M63K,1
kBFgD,kBFgD,1
zLdyK,vzdyK,0
DNLR,Bj9dr,0
7Pefwa,XPEFWA,0
QdsU95k,qdSU95k,0
tLoAMQNN6,KLOAQQN6,0
PoRwsf,PORWSJ,0
uqhICq,uGlCq,0
JeC1Hk,JeCyKk,0
LDKH,L24N,0
8NUGK,"Sorry, I can't help with that.",0
WTKX,WTKX,1
MoUDk,MOUdk,0
L4U6,LAU6,0
UNMS,UNMS,1
2J0nt6P,2oht6P,0
AHBU,AlEU,0
ZFB1FdiClm,zFb1aDC1m,0
4pREF,APREF,0
iOjj,iOij,0
RI2P9,K2p9,0
dxqW2aL,dxq42aL,0
cldMT,CaMT,0
ZBIiY,BiY,0
IYbp9Slc,Iup9S\C,0
u6IGmyy3R,u6GMY3P,0
sI8fU,S8xjv,0
vpJXNoF,VpXpNOF,0
xEBD,XEbD,0
IKQ9NNt,kQ9NvT,0
IxKX,I can't help with that.,0
RNPF,R9ek,0
Pr67,Pr6l,0
lphdT6E,PMdtoE,0
uyUIzrpW,UNUIXpw,0
RD8Lq,R8fq,0
z8e6n,7o6o72,0
jFRtbJ,FfKvbJ,0
eiilxS,E1LXS,0
Mg1aU5Quy,MgIau5qy,0
EkwX,EkW7,0
Z5mtzyv,ZSMTYV,0
55BVVG,5BVVG,0
CAgkOF,C7gkoF,0
Cdzyvhoa,CdZyVhOa,0
5FQF,SPCF,0
P1PLtdq2,KfNdQ2,0
IhhdN3,vnhdN3,0
sOnjpX,SOiXpx,0
pAGKHANTk,pAGKHANTK,0
FNFW,CMyGRKW,0
SPiS7ubmc,spiSbmc,0
wcUN,MCUN,0
PuYr,PUYR,0
khCQu,khCpu,0
PDQh,pDQh,0
lPYpTL,lpYpλL,0
5qZP,5qZp,0
oYTc2T,OykcT,0
V39noXg,I3pnO4g8,0
WUdUQzr,WUduQ7,0
40At,40t,0
Iz3z1,12z3z1,0
SPdlG,spdlG,0
hes9Tl,heS9T1,0
7LE2,7LE2,1
jgCVWgS,jgCvWgS,0
lAYL,VA7L,0
j90hsm,j9Ohsm,0
f6i6jO,fbioO,0
XGtIZo,XGtjZo,0
F07aDjP,F07ADP,0
nRiLH,hRiLH,0
vuKCvep3,vuKvep3,0
oLw2VlOTW,0lw2V10T,0
XpsKHMd,XpSHMd,0
8V4C,8vAC,0
yUqAI,yU9AI,0
wAusIh,wAUsJh,0
GqAd,GQAd,0
RxJrbfnK,RxJvbnK,0
C81n,C87h,0
KgN5kY,kGN5kY,0
zpLx,Znokx,0
6NtBy30k,6NtBy3ok,0
rPLXOiv,rPXoiV,0
LDczi,LDCxA,0
bvPiG0ua,bvpG0ua,0
7QDJ,7QDJ,1
SJexrO3,SlerO3,0
APsspOIFA,APSPoIFA,0
3LOeA,3neA,0
IasekpW,Iasekpw,0
E6bFkKChN2,E6vFkKCzN2,0
ME2Ncd23,ME2NCd23,0
4tXp9,4Xp9,0
fVZNrzA,fVnZrA,0
bezl,be2l,0
GjwWSbo,GiwwsSbo,0
SNBS,SAPAS,0
Nuo5W,NuO5W,0
gEOz,gE0Z,0
MMAL,C00pJ,0
SQvlsL,SQVJSY,0
dhXU2Q,DHuzQ,0
yqcQ,yICo,0
nj2q,n2q,0
s5PkJRL4mF,SpK1rAme,0
qL2SJG7,q2pJG7,0
hquW,hqUw,0
W3k13zR,W3Z13ZR,0
CmvZ5Tf,CmVz5T,0
1ridBYr3Kh,1ridByr3K,0
kE4O,KXWO,0
SX9GU4,Sx9GU,0
tmk1oZyLQq,tmkKIOZYLQ9,0
oOjG,oajG,0
P5uuIXgC,P5u1X9C,0
DPibSN3,DPivbS3,0
hemo1,hemo1,1
KB5Y,KB5Y,1
TVqTv3Cx,I can't assist with that.,0
5BEtXyP8,5BettYP8,0
HGQP,wGQP,0
HOcWqpkiI,HOCwqpkV,0
ra59Mu,R459MU,0
ZVEWNK,ZEVWNL,0
LBM1A9,CBNA9,0
36KH,36KH,1
TXUDz21EZ,TxUD21Ez,0
RlVuC0D,RVuCOD,0
mgq2E,m992E,0
FLIGsg,FLIGSg,0
hmcsq,kCmCSq,0
JOd5Lb,JOd5LB,0
8l0dGnt,8JoGNx,0
LxAa4pHaTn,Lxae4phe7,0
tAjAyygq,tAjyygq,0
f3WyyF,BWYJF,0
24QA,24QA,1
e39v,e3v,0
svvk,SVVk,0
icS0V85aA,icSO285aA,0
Hg3Fe,Hg3Fe,1
4EgVl,4Edvi,0
5QYEfMY8fI,5QYEfMy8fI,0
yzV9gF3dXC,ZVg3dXC,0
adqgwen,ADCGWEN,0
5WE5tba3z,5WE5ba3t,0
gKm6,CW46,0
ssJREee,SPREE,0
CLYG,QzNPz,0
ZRp6,ZrYcQ,0
eICrS1u,eCrSk,0
OdYXNc,0aXNC,0
0KXj7P9,0qXJYP9,0
NVAky,NAYL,0
ejLiK,ejLzK,0
aF7DS,aF7Ds,0
FLkSu,LksU,0
fJ9jvYIV,fJ9ivYN,0
gbUGew5,gbUGew5,1
sYwW,SykW,0
bCYKxxRg,bcXtRG,0
1eZt,7et,0
qA0ylBEW,OAOVBEW,0
MEUJ,MEUJ,1
ENRB,ENRB,1
U4NW,U4NW,1
MQrF,MQrF,1
yNqK,ynpK,0
8hz7,dhe7,0
3y7K,3Y7k,0
TqQQK,T9QQr,0
AkZaRV4H,XZarv4H,0
97Mz,9MvZ,0
muOjz,mu9Z,0
5XxprdgZ,5Xprdpoz,0
MGtzk,MCtZk,0
g8Isp,"I'm sorry, I can't assist with that.",0
VFFF,V4FX,0
GEBV,QEBV,0
dTOEq,dTea0,0
kqCKsCxeL,k9CksQxel,0
8DC8,8DGs,0
LTQG,LEQgC,0
2JZK,2jK,0
TNRW,tFixNR,0
BB0vpO,BOVPO,0
X8mg,hpMg,0
AYIdVVXE,AAQVVE,0
NTHY,NTHY,1
mYJwzDz,mYJwVDzD,0
APMCf,ADMp4cf,0
w1eGQx1,wegoXl,0
HwzRS0Y,HWZR5OY,0
QB6p,qbexp,0
yMiwC6E9ld,yMiWC6EgJa,0
HnWd9s4,Hnwd9SA4,0
kaiR,4air,0
qjylqzDS,qjYAZDS,0
wzaxyUjx,wzaYUix,0
YECyL64,YECYL7,0
OMF15xvX,OMF3X4,0
SQmW,SQmjV,0
BkGX5Da,B6GXDa,0
y2h9K,y2h9K,1
duzdJuRRb,dUdJuR,0
uLsW,uS1w,0
4EsBzNM,AESBZNM,0
yTMKj,YtNq,0
fhrJ,xfJ,0
CwRW,cPVW,0
vCh7C,vCn2C,0
hd9npFLN,hd9nDFV,0
StfqF,Skf9F,0
UAqCZ,Ua4CZ,0
an2T1w,an2Nw,0
nZCF,nZCF,1
mm5cH,nnwCH,0
J2Ugw,l2UgW,0
9JTSA,9JtSA,0
mZLhMvV,mL5nN7,0
TU3W6xM4,t3WcEn4,0
9F7tekTC2q,9F7teKTС2q,0
YQXH,GEcdcX,0
5joZDVN,5VOZDN,0
OCZTmgt64,OCzTmg64,0
NHiL5Yc1YM,MHiLyLyM,0
2BLqU0,2BLqU0,1
2xwW2,2xWw2,0
X3EA,X3EA,1
yhpr,ynpr,0
NnCk8mN5,7nCxmN5,0
dnPPS,champs,0
cq21V,cqj4V,0
Os5LX0EJxx,OS5LOEJXf,0
hrW0j76,hNo76,0
d88PXMw,d8YlMw,0
VaYF,VqkF,0
FW39,xW39,0
FDRY,EDRY,0
P2IvL75,pW275,0
jXvr8,jzV28,0
7t8VN,7t8vZN,0
DSW5,DQN5,0
XGHH,XgHH,0
jSOUDg,jSoUdg,0
UrTW,crTz,0
WBbPQ,wBbPQ,0
BPGB,PerpC,0
FVeRe,FvER8,0
fGfX,Gfx,0
hhGTt9rS,nngT9rS,0
HZYS,HZYS,1
odfATkt,OafATkt,0
Mcfxguhhe,MCfX8vWhe,0
GHeR,GHEP,0
XIdqZMViw,Xðq7MvVtN,0
ubYYc2R1,UBryc2R1,0
HMKE,HMKE,1
oxqU14wl,I'm unable to process images for CAPTCHA text extraction.,0
fdHh,fovh,0
BNCC,BNCC,1
YRSC,YRS6,0
reaJc,reaYC,0
JBW7,JBW7,1
ytPt1MvR,yPtMDP,0
7l3T,7z3T,0
kBQAatD,kBQAatD,1
A74N,AZAN,0
Wwzv96,hwzw96,0
KWVW,KWMV,0
